theName,index,value
Luminence,0,0.04185852669085959
Luminence,5,0.5444852104136477
Luminence,10,0.48118409577310217
Luminence,15,0.48453907243358885
Luminence,20,0.5292755885981753
Luminence,25,0.5521436990469206
Luminence,30,0.8969411432584564
Luminence,35,0.8921731196155439
Luminence,40,0.8130037946957164
Luminence,45,0.843092192906181
Luminence,50,0.8164945234594234
Luminence,55,0.8153419441417389
Luminence,60,0.8176665487411304
Luminence,65,0.833142988193303
Luminence,70,0.5354851878917097
Luminence,75,0.7804937204850068
Luminence,80,0.7859811259823083
Luminence,85,0.7948298845152646
Luminence,90,0.8012221940206603
Luminence,95,0.7729998162600629
Luminence,100,0.8003531983779029
Luminence,105,0.8029715518879972
Luminence,110,0.810638779983716
Luminence,115,0.793344189101056
Luminence,120,0.7799356886457457
Luminence,125,0.04004042806679158
Luminence,130,0.7156004922931275
Luminence,135,0.7308163056612997
Luminence,140,0.4387133710580634
Luminence,145,0.528057463312146
Luminence,150,0.568765971796672
Luminence,155,0.6579591169002905
Luminence,160,0.5621381852646168
Luminence,165,0.7104638534381058
Luminence,170,0.5918740478177443
Luminence,175,0.7395642831424244
Luminence,180,0.5994098011302317
Luminence,185,0.6243002258292937
Luminence,190,0.3849345872358488
Luminence,195,0.5431778026736577
Luminence,200,0.6969357992487917
Luminence,205,0.7567307788527082
Luminence,210,0.7362871563460524
Luminence,215,0.650032688493901
Luminence,220,0.6512521207388156
Luminence,225,0.7639885195675375
Luminence,230,0.6822789550338287
Luminence,235,0.7094082267068309
Luminence,240,0.4662710876165962
Luminence,245,0.6777948451059655
Luminence,250,0.48530719461328053
Luminence,255,0.5231450273131963
Luminence,260,0.568759318187801
Luminence,265,0.44599247196962627
Luminence,270,0.41195635824012355
Luminence,275,0.5582436326085238
Luminence,280,0.6716639141760496
Luminence,285,0.7794790451321418
Luminence,290,0.6683879887257238
Luminence,295,0.7549368655688228
Luminence,300,0.6943108977426655
Luminence,305,0.70672663750925
Luminence,310,0.8062423155108058
Luminence,315,0.7312485394074375
Luminence,320,0.681418989288825
Luminence,325,0.6629439637021344
Luminence,330,0.6667515837899393
Luminence,335,0.575851141132206
Luminence,340,0.5111162397879315
Luminence,345,0.5756976856768106
Luminence,350,0.6437712068930966
Luminence,355,0.6768586532942504
Luminence,360,0.6248925422364887
Luminence,365,0.6846122594908515
Luminence,370,0.6013047330948367
Luminence,375,0.547310023822824
Luminence,380,0.5889684669897698
Luminence,385,0.6995850709175692
Luminence,390,0.7126631352021509
Luminence,395,0.5447739163112773
Luminence,400,0.689892624218455
Luminence,405,0.5621745424845203
Luminence,410,0.6927366459627656
Luminence,415,0.7103921951266908
Luminence,420,0.5174006789796627
Luminence,425,0.5212436265621888
Luminence,430,0.5920433451990238
Luminence,435,0.6374556119137936
Luminence,440,0.6395251219016393
Luminence,445,0.4931044321140869
Luminence,450,0.37337421905576157
Luminence,455,0.3851092708719287
Luminence,460,0.5480070421585068
Luminence,465,0.5780304356664273
Luminence,470,0.6271324849436355
Luminence,475,0.6627284210988789
Luminence,480,0.37189645780609976
Luminence,485,0.5347227292005216
Luminence,490,0.43430606806752775
Luminence,495,0.46099819499736794
Luminence,500,0.4475560436511593
Luminence,505,0.44998599705767917
Luminence,510,0.4619390601772189
Luminence,515,0.45526290296479793
Luminence,520,0.6538213114722502
Luminence,525,0.6285497696412354
Luminence,530,0.5526836182842544
Luminence,535,0.6386309243951216
Luminence,540,0.6260153783383261
Luminence,545,0.6330112520182943
Luminence,550,0.6528640234958996
Luminence,555,0.5645105400689435
Luminence,560,0.6108995671272961
Luminence,565,0.5573114276814894
Luminence,570,0.6509133807586028
Luminence,575,0.5772634224215477
Luminence,580,0.6940007128338584
Luminence,585,0.550447543647344
Luminence,590,0.6414787746048543
Luminence,595,0.6873128986043078
Luminence,600,0.527802777950352
Luminence,605,0.48519404365765467
Luminence,610,0.3081498022016739
Luminence,615,0.585326381825847
Luminence,620,0.17849204826411702
Luminence,625,0.4430607519639433
Luminence,630,0.31002020558436866
Luminence,635,0.3156622810847168
Luminence,640,0.17697340164406977
Luminence,645,0.6999041669096862
Luminence,650,0.29662581764470014
Luminence,655,0.2695118994382005
Luminence,660,0.20539833162869814
Luminence,665,0.1699072954260162
Luminence,670,0.2359729317461449
Luminence,675,0.36284842104712867
Luminence,680,0.44465686560156287
Luminence,685,0.549425779032646
Luminence,690,0.18437476261864183
Luminence,695,0.38688905843856747
Luminence,700,0.44347054298174565
Luminence,705,0.644355509926115
Luminence,710,0.6944874428050367
Luminence,715,0.4126739182730357
Luminence,720,0.3952787839674324
Luminence,725,0.4634319636677047
Luminence,730,0.5694767858094787
Luminence,735,0.4314700200925785
Luminence,740,0.44958473427664436
Luminence,745,0.29641497481279
Luminence,750,0.2918577015905531
Luminence,755,0.3981817244744263
Luminence,760,0.258002872299582
Luminence,765,0.3674250742253635
Luminence,770,0.6577645252440165
Luminence,775,0.5304770138540018
Luminence,780,0.6007044033134654
Luminence,785,0.630750754412313
Luminence,790,0.6177068162764066
Luminence,795,0.6344048266334881
Luminence,800,0.6485167482028588
Luminence,805,0.6601008132637475
Luminence,810,0.7403842348229663
Luminence,815,0.6600786609707198
Luminence,820,0.6423624372306591
Luminence,825,0.6455156273601993
Luminence,830,0.7247029460675097
Luminence,835,0.6785291711771049
Luminence,840,0.6918806671024427
Luminence,845,0.6736161015011202
Luminence,850,0.6621910761745012
Luminence,855,0.697060475205498
Luminence,860,0.6821011822222013
Luminence,865,0.6945934252892002
Luminence,870,0.6798034824936025
Luminence,875,0.6875702506902921
Luminence,880,0.1852026220605208
Luminence,885,0.6544267634763237
Luminence,890,0.7519422663189856
Luminence,895,0.7222780884804829
Luminence,900,0.683471548415975
Luminence,905,0.63370512837201
Luminence,910,0.46960818930404397
Luminence,915,0.6376693855019923
Luminence,920,0.5266028048710647
Luminence,925,0.5650193035187057
Luminence,930,0.5690324593932494
Luminence,935,0.544512748961476
Luminence,940,0.5727482623189522
Luminence,945,0.5315044287555983
Luminence,950,0.5652193342361999
Luminence,955,0.5825726986638893
Luminence,960,0.5749670164502294
Luminence,965,0.4559591160025815
Luminence,970,0.43800789049363786
Luminence,975,0.4633596848808594
Luminence,980,0.4751949500798472
Luminence,985,0.46704375114837465
Luminence,990,0.4292804811129522
Luminence,995,0.46467061744935856
Luminence,1000,0.538477490062294
Luminence,1005,0.477560466452834
Luminence,1010,0.4799363856904848
Luminence,1015,0.5897531307804053
Luminence,1020,0.6352687132551479
Luminence,1025,0.6552827951430661
Luminence,1030,0.6352827993675798
Luminence,1035,0.6015468901335773
Luminence,1040,0.2216575602436097
Luminence,1045,0.3023488057815003
Luminence,1050,0.4196220681512786
Luminence,1055,0.1749727380257945
Luminence,1060,0.1824654277030873
Luminence,1065,0.254346608611993
Luminence,1070,0.1784578033009979
Luminence,1075,0.1611962164305960
Luminence,1080,0.1553868237897039
Luminence,1085,0.1937010892089738
Luminence,1090,0.1985764418997500
Luminence,1095,0.1437521833804309
Luminence,1100,0.351035215729934
Luminence,1105,0.2694498386935502
Luminence,1110,0.3653181376876168
Luminence,1115,0.4560987493776433
Luminence,1120,0.1534534883564353
Luminence,1125,0.2302738121110097
Luminence,1130,0.2720372608433561
Luminence,1135,0.3234429241681597
Luminence,1140,0.2824019596673544
Luminence,1145,0.2498467623710853
Luminence,1150,0.2702355058061583
Luminence,1155,0.4335063412456976
Luminence,1160,0.477243033862935
Luminence,1165,0.3336406358917365
Luminence,1170,0.3785968795683328
Luminence,1175,0.2411137159051061
Luminence,1180,0.3192599296465351
Luminence,1185,0.2557094894957866
Luminence,1190,0.6670515770597613
Luminence,1195,0.6137947186873972
Luminence,1200,0.0142716873919102
Luminence,1205,0.6471129819486799
Luminence,1210,0.8532751716386858
Luminence,1215,0.7326262852983522
Luminence,1220,0.7076769286350018
Luminence,1225,0.6937220269543503
Luminence,1230,0.7123036951054493
Luminence,1235,0.8397269982034992
Luminence,1240,0.7788998907250355
Luminence,1245,0.6442613956847597
Luminence,1250,0.6894131683315783
